Time,SoC
1.72481e+09,66.4074
1.72481e+09,67.1667
1.72481e+09,67.5
1.72481e+09,67.9815
1.72481e+09,68.3519
1.72481e+09,68.6481
1.72481e+09,69
1.72481e+09,69.1111
1.72481e+09,69.5185
1.72481e+09,70
1.72481e+09,70
1.72481e+09,70.2222
1.72481e+09,70.7407
1.72481e+09,71
1.72481e+09,71.5
1.72481e+09,71.5
1.72481e+09,71.7963
1.72481e+09,72.5
1.72481e+09,73
1.72481e+09,73.4259
1.72481e+09,73.7222
1.72481e+09,74
1.72481e+09,74.2222
1.72481e+09,74.8148
1.72481e+09,75.1852
1.72481e+09,75.5
1.72481e+09,75.9074
1.72481e+09,76.463
1.72481e+09,76.5
1.72481e+09,76.8148
1.72481e+09,77.3519
1.72481e+09,77.7778
1.72481e+09,78.1852
1.72481e+09,78.6667
1.72481e+09,79.2963
1.72481e+09,79.6481
1.72481e+09,80
1.72481e+09,80.5185
1.72481e+09,81.3704
1.72481e+09,82.0556
1.72481e+09,82.5741
1.72481e+09,84
1.72481e+09,85.9815
1.72481e+09,86.8519
1.72481e+09,87.4074
1.72481e+09,87.9444
1.72481e+09,88.0741
1.72481e+09,89.6667
1.72481e+09,91.8148
1.72481e+09,92.463
1.72481e+09,92.7407
1.72481e+09,93
1.72481e+09,93.2963
1.72481e+09,95
1.72481e+09,96.1667
1.72481e+09,96.5
1.72481e+09,40.3889
1.72481e+09,40.7593
1.72481e+09,41.2593
1.72481e+09,41.6667
1.72481e+09,42.4444
1.72481e+09,43.1481
1.72481e+09,44.1111
1.72481e+09,45.037
1.7248e+09,45.5741
1.7248e+09,46.1667
1.7248e+09,46.9074
1.7248e+09,47.6481
1.7248e+09,48.2778
1.7248e+09,49.0926
1.7248e+09,49.9074
1.7248e+09,50.0556
1.7248e+09,50.7407
1.7248e+09,51.7407
1.7248e+09,52.8148
1.7248e+09,53.7963
1.7248e+09,55.8704
1.7248e+09,57.1852
1.7248e+09,57.6667
1.7248e+09,58
1.7248e+09,58.4259
1.7248e+09,59.037
1.7248e+09,59.5
1.7248e+09,60.3148
1.7248e+09,61.0926
1.7248e+09,61.6111
1.7248e+09,62.3704
1.7248e+09,63.2407
1.7248e+09,63.5556
1.7248e+09,64.2037
1.7248e+09,65.0185
1.7248e+09,65.5
1.7248e+09,66.1111
1.7248e+09,67.0741
1.7248e+09,67.7778
1.7248e+09,68
1.7248e+09,68.4259
1.7248e+09,69.0185
1.7248e+09,69.537
1.7248e+09,70
1.7248e+09,70.0741
1.7248e+09,70.5
1.7248e+09,70.7037
1.7248e+09,71.0556
1.7248e+09,68.8519
1.7248e+09,71.9815
1.7248e+09,72.1852
1.7248e+09,72.5
1.7248e+09,72.9444
1.7248e+09,73
1.7248e+09,73.1667
1.7248e+09,73.7407
1.7248e+09,74.537
1.7248e+09,75.3519
1.7248e+09,76.0556
1.7248e+09,76.7593
1.7248e+09,77.5
1.7248e+09,77.9259
1.7248e+09,78
1.7248e+09,78.463
1.7248e+09,78.9444
1.7248e+09,79.0741
1.7248e+09,79.5
1.7248e+09,79.7407
1.7248e+09,80.4259
1.7248e+09,80.5
1.7248e+09,80.8704
1.7248e+09,81
1.7248e+09,81
1.7248e+09,81
1.7248e+09,81.1111
1.7248e+09,81.5
1.7248e+09,81.5
1.7248e+09,81.5
1.7248e+09,81.8148
1.7248e+09,82
1.7248e+09,82
1.7248e+09,82.3889
1.7248e+09,82.5
1.7248e+09,82.5556
1.7248e+09,83
1.7248e+09,83
1.7248e+09,83.1481
1.7248e+09,83.5
1.7248e+09,83.6481
1.7248e+09,83.9259
1.7248e+09,84.3519
1.7248e+09,84.6296
1.7248e+09,85.4259
1.7248e+09,86.1111
1.7248e+09,86.9074
1.7248e+09,87.5
1.7248e+09,87.8889
1.7248e+09,88
1.7248e+09,88.1111
1.7248e+09,88.5
1.7248e+09,88.5
1.7248e+09,88.9815
1.7248e+09,89
1.7248e+09,89.3333
1.7248e+09,89.5
1.7248e+09,89.8148
1.7248e+09,90.037
1.7248e+09,90.6481
1.7248e+09,91.5741
1.7248e+09,92.7222
1.7248e+09,93.8333
1.7248e+09,94.5
1.7248e+09,94.5
1.7248e+09,94.5
1.7248e+09,94.8889
1.7248e+09,95
1.7248e+09,95.1296
1.7248e+09,95.9074
1.7248e+09,96.4444
1.7248e+09,96.5
1.7248e+09,68.6852
1.7248e+09,69.463
1.7248e+09,70.1852
1.7248e+09,71.1852
1.7248e+09,72.4259
1.7248e+09,73.6296
1.7248e+09,74.5185
1.7248e+09,76.7963
1.7248e+09,79.6667
1.7248e+09,81.4259
1.7248e+09,82.0185
1.7248e+09,82.4815
1.7248e+09,83.463
1.7248e+09,83.7407
1.7248e+09,84.3704
1.7248e+09,85.3148
1.7248e+09,86.8704
1.7248e+09,88.3889
1.7248e+09,90.0926
1.7248e+09,90.5
1.7248e+09,90.6481
1.7248e+09,91.4444
1.7248e+09,92.8704
1.7248e+09,93.5
1.7248e+09,94.0556
1.7248e+09,94.7593
1.7248e+09,95
1.7248e+09,95.3704
1.7248e+09,95.5556
1.7248e+09,96
1.7248e+09,97
1.7248e+09,53.2778
1.7248e+09,53.6111
1.7248e+09,54
1.7248e+09,54
1.7248e+09,54.0926
1.7248e+09,54.5
1.7248e+09,54.5
1.7248e+09,54.9259
1.7248e+09,55.3148
1.7248e+09,56.0185
1.7248e+09,56.5
1.7248e+09,56.9074
1.7248e+09,57.2037
1.7248e+09,57.7222
1.7248e+09,58
1.7248e+09,58.3148
1.7248e+09,58.5
1.7248e+09,58.5
1.7248e+09,58.9444
1.7248e+09,59
1.7248e+09,59.0556
1.7248e+09,59.5
1.7248e+09,59.5
1.7248e+09,59.7963
1.7248e+09,60
